Customer ID,Customer Name,Customer Balance,Invoice Total,Invoice applied amount,Invoice exchange rate,Payment Total,Payment applied amount,Payment exchange rate,Credit Total,Credit applied amount,Credit exchange rate,Adjustment Total,Adjustment applied amount,Adjustment exchange rate,ML Predicted Balance,Residual,Abs Residual
CUST-0119,Customer 0119,1255.62,2217.26,600.06,0.8433,1082.44,344.2,0.8215,1726.3,396.85,0.9589,927.9,417.97,0.9772,70.54,1185.08,1185.08
CUST-0723,Customer 0723,-1265.07,275.63,196.23,0.9421,3404.15,910.04,0.8274,836.79,47.51,1.0912,723.03,25.1,1.037,-2359.11,1094.04,1094.04
CUST-0424,Customer 0424,-624.93,353.12,136.42,0.8388,1610.45,367.89,0.8024,1565.72,777.23,1.1867,304.92,80.52,0.8482,-1659.71,1034.78,1034.78
CUST-0151,Customer 0151,4003.51,4148.83,597.05,1.0625,3.3,0.82,1.0634,1609.42,898.83,1.0051,518.37,246.8,0.8557,3058.0,945.51,945.51
CUST-0928,Customer 0928,-642.21,4274.47,3040.9,1.0353,3314.59,1607.44,1.1269,1824.27,803.37,1.1851,50.35,46.29,1.0992,-1578.26,936.05,936.05
CUST-0653,Customer 0653,1770.46,3390.9,863.76,1.1256,1237.0,156.16,1.0363,1338.9,707.25,1.1919,244.57,199.71,1.0251,925.84,844.62,844.62
CUST-0823,Customer 0823,541.11,1544.3,816.41,0.8216,2153.38,1431.79,1.0884,979.78,311.13,1.056,800.67,146.64,1.1138,-271.04,812.15,812.15
CUST-0046,Customer 0046,-1207.54,4043.35,1320.34,0.8169,3901.62,1013.63,1.1996,776.52,747.28,0.8837,98.29,46.32,1.1219,-413.2,-794.34,794.34
CUST-0974,Customer 0974,2015.36,4592.56,1694.6,1.1722,787.92,687.7,1.1982,1902.44,26.84,0.8226,505.05,202.06,0.9285,1253.62,761.74,761.74
CUST-0166,Customer 0166,-1997.75,1917.52,1650.6,0.9081,2762.59,687.55,1.0934,1304.76,544.63,1.0688,595.91,568.18,1.0354,-2736.77,739.02,739.02
CUST-0810,Customer 0810,766.65,4959.69,430.06,0.8663,3192.67,1848.61,1.102,1576.15,48.25,1.1522,1151.63,1077.55,1.1371,1439.79,-673.14,673.14
CUST-0910,Customer 0910,-3202.5,1544.39,1379.22,1.0271,3279.54,710.72,0.8535,740.65,268.24,0.8939,1288.49,1197.21,1.0427,-2534.62,-667.88,667.88
CUST-0463,Customer 0463,2186.85,4735.52,865.69,0.8362,26.86,8.79,0.8425,1430.25,54.95,1.0634,410.59,6.65,1.0611,2852.12,-665.27,665.27
CUST-0233,Customer 0233,1675.55,4834.54,945.09,0.8376,2073.22,1518.26,0.9624,1637.0,322.11,1.1696,895.74,299.81,0.8218,2329.54,-653.99,653.99
CUST-0971,Customer 0971,91.66,1340.6,418.55,0.9877,3815.4,2390.94,0.9542,1547.23,985.57,1.1464,1084.16,597.48,1.1099,-537.67,629.33,629.33
CUST-0045,Customer 0045,3759.17,4178.07,82.59,1.1924,2998.06,1440.75,0.8983,1057.38,1017.15,1.1725,461.39,153.25,1.0444,3130.02,629.15,629.15
CUST-0991,Customer 0991,-4.58,3151.27,278.58,1.1163,3918.49,26.95,0.8433,255.88,143.59,1.1528,437.61,266.59,1.1684,-590.69,586.11,586.11
CUST-0468,Customer 0468,2345.53,4708.91,1076.67,1.0374,1205.02,793.54,0.8566,1471.96,265.24,1.0013,931.31,185.9,0.9432,2929.54,-584.01,584.01
CUST-0949,Customer 0949,3467.85,4385.42,78.33,1.1831,3502.98,2296.53,0.9473,1430.62,410.54,0.9795,947.61,438.18,1.0093,2888.51,579.34,579.34
CUST-0003,Customer 0003,4508.85,4307.13,555.75,1.1812,979.42,834.34,1.1067,1138.35,681.49,0.9112,733.45,148.67,1.1517,3929.94,578.91,578.91
CUST-0781,Customer 0781,974.71,1345.89,228.42,0.8468,339.9,104.9,1.1982,761.33,581.14,1.0384,271.56,126.27,0.8179,396.58,578.13,578.13
CUST-0954,Customer 0954,-1215.42,890.14,863.62,1.1654,2859.67,2804.31,0.8182,1263.92,73.99,1.1879,729.71,552.18,1.1969,-642.29,-573.13,573.13
CUST-0567,Customer 0567,995.54,3838.22,311.49,0.8165,3442.93,2599.5,1.0649,1150.54,42.15,1.1592,368.64,64.3,0.9824,1560.18,-564.64,564.64
CUST-0182,Customer 0182,3217.82,4477.89,532.47,1.187,1029.32,131.12,0.954,1055.63,460.69,1.1021,149.74,91.28,0.807,2692.64,525.18,525.18
CUST-0765,Customer 0765,3295.45,4602.23,552.78,0.829,233.66,102.44,0.988,634.5,402.8,0.9594,678.96,431.63,1.1741,3818.98,-523.53,523.53
CUST-0858,Customer 0858,2697.59,4403.99,1263.47,0.9727,1750.15,1103.01,1.0055,656.16,158.94,1.1827,918.93,630.7,1.0183,2174.48,523.11,523.11
