Customer ID,Customer Name,Customer Balance,Invoice Total,Invoice applied amount,Invoice exchange rate,Payment Total,Payment applied amount,Payment exchange rate,Credit Total,Credit applied amount,Credit exchange rate,Adjustment Total,Adjustment applied amount,Adjustment exchange rate,Expected Balance,Delta,Abs Delta,Likely Cause
CUST-0119,Customer 0119,1255.62,2217.26,600.06,0.8433,1082.44,344.2,0.8215,1726.3,396.85,0.9589,927.9,417.97,0.9772,-19.19,1274.81,1274.81,Check Invoice/exchange rate/rounding
CUST-0928,Customer 0928,-642.21,4274.47,3040.9,1.0353,3314.59,1607.44,1.1269,1824.27,803.37,1.1851,50.35,46.29,1.0992,-1852.08,1209.87,1209.87,Check Payments/exchange rate/rounding
CUST-0424,Customer 0424,-624.93,353.12,136.42,0.8388,1610.45,367.89,0.8024,1565.72,777.23,1.1867,304.92,80.52,0.8482,-1560.63,935.7,935.7,Check Payments/exchange rate/rounding
CUST-0723,Customer 0723,-1265.07,275.63,196.23,0.9421,3404.15,910.04,0.8274,836.79,47.51,1.0912,723.03,25.1,1.037,-2126.33,861.26,861.26,Check Payments/exchange rate/rounding
CUST-0910,Customer 0910,-3202.5,1544.39,1379.22,1.0271,3279.54,710.72,0.8535,740.65,268.24,0.8939,1288.49,1197.21,1.0427,-2349.95,-852.55,852.55,Check Payments/exchange rate/rounding
CUST-0166,Customer 0166,-1997.75,1917.52,1650.6,0.9081,2762.59,687.55,1.0934,1304.76,544.63,1.0688,595.91,568.18,1.0354,-2810.17,812.42,812.42,Check Payments/exchange rate/rounding
CUST-0653,Customer 0653,1770.46,3390.9,863.76,1.1256,1237.0,156.16,1.0363,1338.9,707.25,1.1919,244.57,199.71,1.0251,1017.6,752.86,752.86,Check Invoice/exchange rate/rounding
CUST-0151,Customer 0151,4003.51,4148.83,597.05,1.0625,3.3,0.82,1.0634,1609.42,898.83,1.0051,518.37,246.8,0.8557,3289.3,714.21,714.21,Check Invoice/exchange rate/rounding
CUST-0823,Customer 0823,541.11,1544.3,816.41,0.8216,2153.38,1431.79,1.0884,979.78,311.13,1.056,800.67,146.64,1.1138,-164.98,706.09,706.09,Check Payments/exchange rate/rounding
CUST-0281,Customer 0281,-2282.97,313.03,112.28,0.9681,2658.56,19.54,1.183,1539.51,1106.38,0.989,1424.62,956.35,0.8367,-2964.18,681.21,681.21,Check Payments/exchange rate/rounding
CUST-0971,Customer 0971,91.66,1340.6,418.55,0.9877,3815.4,2390.94,0.9542,1547.23,985.57,1.1464,1084.16,597.48,1.1099,-552.23,643.89,643.89,Check Payments/exchange rate/rounding
CUST-0746,Customer 0746,-1292.18,2498.56,1587.99,1.1131,2868.08,104.49,0.8271,196.82,114.7,0.9606,1189.13,614.18,1.1611,-683.52,-608.66,608.66,Check Payments/exchange rate/rounding
